date,nikkei225_close,fwd36m_state,fwd36m_loss,fwd36m_mdd,fwd36m_exec,fwd60m_state,fwd60m_loss,fwd60m_mdd,fwd60m_exec,fwd120m_state,fwd120m_loss,fwd120m_mdd,fwd120m_exec
2007-06-29,18138.36,-48.27,1,-61.37,-48.29,-50.34,1,-61.37,-50.37,10.45,0,-61.37,10.40
2007-07-31,17248.89,-44.71,1,-59.59,-43.47,-49.59,1,-59.59,-48.46,15.52,0,-59.59,18.10
2007-08-31,16569.09,-46.74,1,-59.59,-46.60,-46.65,1,-59.59,-46.51,18.57,0,-59.59,18.89
2007-09-28,16785.69,-44.18,1,-59.59,-44.38,-47.16,1,-59.59,-47.35,21.27,0,-59.59,20.84
2007-10-31,16737.63,-45.02,1,-58.18,-45.45,-46.66,1,-58.18,-47.08,31.51,0,-58.18,30.47
2007-11-30,15680.67,-36.63,1,-56.03,-36.42,-39.76,1,-56.03,-39.56,44.92,0,-56.03,45.40
2007-12-28,15307.78,-33.18,1,-53.91,-30.37,-32.09,1,-53.91,-29.24,48.71,0,-53.91,54.95
2008-01-31,13592.47,-24.68,1,-51.31,-24.15,-18.05,1,-51.31,-17.47,69.93,0,-51.31,71.13
2008-02-29,13603.02,-21.90,1,-51.31,-18.23,-15.02,1,-51.31,-11.03,62.23,0,-51.31,69.86
2008-03-31,12525.54,-22.12,1,-51.31,-22.92,-1.02,1,-51.31,-2.04,71.28,0,-51.31,69.51
2008-04-30,13849.99,-28.88,1,-51.31,-28.45,0.08,0,-51.31,0.68,62.22,0,-51.31,63.20
2008-05-30,14338.54,-32.39,1,-51.31,-32.87,-3.93,1,-51.31,-4.61,54.84,0,-51.31,53.75
2008-06-30,13481.38,-27.19,1,-48.14,-27.09,1.45,0,-48.14,1.59,65.45,0,-48.14,65.67
2008-07-31,13376.81,-26.49,1,-47.47,-24.91,2.18,0,-47.47,4.38,68.60,0,-47.47,72.24
2008-08-29,13072.87,-31.50,1,-46.03,-30.22,2.42,0,-46.03,4.32,74.91,0,-46.03,78.16
2008-09-30,11259.86,-22.73,1,-37.94,-23.47,28.38,0,-37.94,27.16,114.21,0,-37.94,112.17
2008-10-31,8576.98,4.80,0,-26.15,-1.38,67.05,0,-28.04,57.20,155.57,0,-28.35,140.50
2008-11-28,8512.27,-0.91,1,-28.04,0.45,83.99,0,-28.04,86.51,162.57,0,-28.35,166.17
2008-12-30,8859.56,-4.56,1,-28.04,-6.50,83.88,0,-28.04,80.15,125.91,0,-28.35,121.33
2009-01-30,7994.05,10.11,0,-28.04,11.79,86.57,0,-28.04,89.42,159.86,0,-28.35,163.82
2009-02-27,7568.42,28.47,0,-28.04,33.56,96.09,0,-28.04,103.86,182.56,0,-28.35,193.75
2009-03-31,8109.53,24.34,0,-28.04,20.73,82.84,0,-28.04,77.54,161.49,0,-28.35,153.90
2009-04-30,8828.26,7.85,0,-28.04,6.05,62.03,0,-28.04,59.34,152.13,0,-28.35,147.94
2009-05-29,9522.50,-10.29,1,-28.04,-11.73,53.66,0,-28.04,51.20,116.34,0,-28.35,112.87
2009-06-30,9958.44,-9.56,1,-28.04,-9.39,52.25,0,-28.04,52.54,113.65,0,-28.35,114.04
