月份,指标,值,url
2021-08,供应商配送时间指数,48.0,PDF提取:2018-2021年12月PMI运行情况报告
2021-08,制造业PMI,50.1,PDF提取:2018-2021年12月PMI运行情况报告
2021-08,原材料库存指数,47.7,PDF提取:2018-2021年12月PMI运行情况报告
2021-08,新订单指数,49.6,PDF提取:2018-2021年12月PMI运行情况报告
2021-08,生产指数,50.9,PDF提取:2018-2021年12月PMI运行情况报告
2021-09,从业人员指数,49.0,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901233.html
2021-09,供应商配送时间指数,48.1,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901233.html
2021-09,制造业PMI,49.6,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901233.html
2021-09,原材料库存指数,48.2,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901233.html
2021-09,新订单指数,49.3,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901233.html
2021-09,生产指数,49.5,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901233.html
2021-09,综合PMI产出指数,51.7,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901233.html
2021-09,非制造业商务活动指数,53.2,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901233.html
2021-10,从业人员指数,48.8,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901269.html
2021-10,供应商配送时间指数,46.7,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901269.html
2021-10,制造业PMI,49.2,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901269.html
2021-10,原材料库存指数,47.0,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901269.html
2021-10,新订单指数,48.8,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901269.html
2021-10,生产指数,48.4,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901269.html
2021-10,综合PMI产出指数,50.8,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901269.html
2021-10,非制造业商务活动指数,52.4,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901269.html
2021-11,从业人员指数,48.9,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901291.html
2021-11,供应商配送时间指数,48.2,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901291.html
2021-11,制造业PMI,50.1,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901291.html
2021-11,原材料库存指数,47.7,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901291.html
2021-11,新订单指数,49.4,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901291.html
2021-11,生产指数,52.0,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901291.html
2021-11,综合PMI产出指数,52.2,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901291.html
2021-11,非制造业商务活动指数,52.3,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901291.html
2021-12,从业人员指数,49.1,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901325.html
2021-12,供应商配送时间指数,48.3,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901325.html
2021-12,制造业PMI,50.3,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901325.html
2021-12,原材料库存指数,49.2,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901325.html
2021-12,新订单指数,49.7,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901325.html
2021-12,生产指数,51.4,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901325.html
2021-12,综合PMI产出指数,52.2,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901325.html
2021-12,非制造业商务活动指数,52.7,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901325.html
2022-01,从业人员指数,48.9,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901362.html
2022-01,供应商配送时间指数,47.6,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901362.html
2022-01,制造业PMI,50.1,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901362.html
2022-01,原材料库存指数,49.1,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901362.html
2022-01,新订单指数,49.3,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901362.html
2022-01,生产指数,50.9,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901362.html
2022-01,综合PMI产出指数,51.0,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901362.html
2022-01,非制造业商务活动指数,51.1,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901362.html
2022-02,从业人员指数,49.2,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901395.html
2022-02,供应商配送时间指数,48.2,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901395.html
2022-02,制造业PMI,50.2,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901395.html
2022-02,原材料库存指数,48.1,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901395.html
2022-02,新订单指数,50.7,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901395.html
2022-02,生产指数,50.4,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901395.html
2022-02,综合PMI产出指数,51.2,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901395.html
2022-02,非制造业商务活动指数,51.6,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901395.html
2022-03,从业人员指数,48.6,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901418.html
2022-03,供应商配送时间指数,46.5,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901418.html
2022-03,制造业PMI,49.5,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901418.html
2022-03,原材料库存指数,47.3,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901418.html
2022-03,新订单指数,48.8,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901418.html
2022-03,生产指数,49.5,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901418.html
2022-03,综合PMI产出指数,48.8,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901418.html
2022-03,非制造业商务活动指数,48.4,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901418.html
2022-04,从业人员指数,47.2,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901453.html
2022-04,供应商配送时间指数,37.2,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901453.html
2022-04,制造业PMI,47.4,https://www.stats.gov.cn/sj/zxfb/202302/t20230203_1901453.html
