variable_id,display_name,layer,aggregation,observed_start,observed_end,n_nonnull,n_null,coverage_rate,risk,NOT_APPLICABLE,NOT_RELEASED,SOURCE_GAP,COVERAGE_LOW,STALE_SOURCE,LEGACY_REGIME,RETROSPECTIVE_NOT_AVAILABLE,INSUFFICIENT_HISTORY,HISTORY_SNAPSHOT_ONLY,HANDOFF_TO_QUARTERLY,all_na_segments,major_structural_gaps
gro.gdp_yoy,gro.gdp_yoy,STATE,last_known,2008-01,2026-07,223,0,100.0%,,0,0,0,0,0,0,0,0,0,0,,
gro.import_yoy,gro.import_yoy,STATE,last_known,2008-01,2026-07,223,0,100.0%,,0,0,0,0,0,0,0,0,0,0,,
gro.ip_cum_yoy,gro.ip_cum_yoy,STATE,last_known,2008-03,2026-07,221,2,99.1%,,1,1,0,0,0,0,0,0,0,0,"2008-01~2008-01(1个月,PRE_INCEPTION,NOT_APPLICABLE); 2008-02~2008-02(1个月,INTERNAL_GAP,NOT_RELEASED)",
gro.ip_yoy,gro.ip_yoy,STATE,last_known,2008-03,2026-07,221,2,99.1%,,1,1,0,0,0,0,0,0,0,0,"2008-01~2008-01(1个月,PRE_INCEPTION,NOT_APPLICABLE); 2008-02~2008-02(1个月,INTERNAL_GAP,NOT_RELEASED)",
gro.pmi,gro.pmi,STATE,last_known,2008-02,2026-07,222,1,99.6%,,0,1,0,0,0,0,0,0,0,0,"2008-01~2008-01(1个月,PRE_INCEPTION,NOT_RELEASED)",
gro.pmi_composite,gro.pmi_composite,STATE,last_known,2021-10,2026-07,58,165,26.0%,,164,1,0,0,0,0,0,0,0,0,"2008-01~2021-08(164个月,PRE_INCEPTION,NOT_APPLICABLE); 2021-09~2021-09(1个月,INTERNAL_GAP,NOT_RELEASED)","2008-01~2021-08(164个月,PRE_INCEPTION,NOT_APPLICABLE)"
gro.pmi_employment,gro.pmi_employment,STATE,last_known,2018-01,2026-07,103,120,46.2%,,119,1,0,0,0,0,0,0,0,0,"2008-01~2017-11(119个月,PRE_INCEPTION,NOT_APPLICABLE); 2017-12~2017-12(1个月,INTERNAL_GAP,NOT_RELEASED)","2008-01~2017-11(119个月,PRE_INCEPTION,NOT_APPLICABLE)"
gro.pmi_new_orders,gro.pmi_new_orders,STATE,last_known,2018-01,2026-07,103,120,46.2%,,119,1,0,0,0,0,0,0,0,0,"2008-01~2017-11(119个月,PRE_INCEPTION,NOT_APPLICABLE); 2017-12~2017-12(1个月,INTERNAL_GAP,NOT_RELEASED)","2008-01~2017-11(119个月,PRE_INCEPTION,NOT_APPLICABLE)"
gro.pmi_nonmanufacturing,gro.pmi_nonmanufacturing,STATE,last_known,2021-10,2026-07,58,165,26.0%,,164,1,0,0,0,0,0,0,0,0,"2008-01~2021-08(164个月,PRE_INCEPTION,NOT_APPLICABLE); 2021-09~2021-09(1个月,INTERNAL_GAP,NOT_RELEASED)","2008-01~2021-08(164个月,PRE_INCEPTION,NOT_APPLICABLE)"
gro.pmi_production,gro.pmi_production,STATE,last_known,2018-01,2026-07,103,120,46.2%,,119,1,0,0,0,0,0,0,0,0,"2008-01~2017-11(119个月,PRE_INCEPTION,NOT_APPLICABLE); 2017-12~2017-12(1个月,INTERNAL_GAP,NOT_RELEASED)","2008-01~2017-11(119个月,PRE_INCEPTION,NOT_APPLICABLE)"
gro.pmi_raw_material_inventory,gro.pmi_raw_material_inventory,STATE,last_known,2018-01,2026-07,103,120,46.2%,,119,1,0,0,0,0,0,0,0,0,"2008-01~2017-11(119个月,PRE_INCEPTION,NOT_APPLICABLE); 2017-12~2017-12(1个月,INTERNAL_GAP,NOT_RELEASED)","2008-01~2017-11(119个月,PRE_INCEPTION,NOT_APPLICABLE)"
gro.pmi_supplier_delivery,gro.pmi_supplier_delivery,STATE,last_known,2018-01,2026-07,103,120,46.2%,,119,1,0,0,0,0,0,0,0,0,"2008-01~2017-11(119个月,PRE_INCEPTION,NOT_APPLICABLE); 2017-12~2017-12(1个月,INTERNAL_GAP,NOT_RELEASED)","2008-01~2017-11(119个月,PRE_INCEPTION,NOT_APPLICABLE)"
gro.retail_yoy,gro.retail_yoy,STATE,last_known,2008-02,2026-07,222,1,99.6%,,0,1,0,0,0,0,0,0,0,0,"2008-01~2008-01(1个月,PRE_INCEPTION,NOT_RELEASED)",
hh.consumer_confidence,hh.consumer_confidence,STATE,last_known,2008-01,2026-07,223,0,100.0%,,0,0,0,0,0,0,0,0,0,0,,
hh.consumer_satisfaction,hh.consumer_satisfaction,STATE,last_known,2008-01,2026-07,223,0,100.0%,,0,0,0,0,0,0,0,0,0,0,,
hh.deposit,hh.deposit,STATE,last_known,2015-02,2026-07,138,85,61.9%,,84,1,0,0,0,0,0,0,0,0,"2008-01~2014-12(84个月,PRE_INCEPTION,NOT_APPLICABLE); 2015-01~2015-01(1个月,INTERNAL_GAP,NOT_RELEASED)","2008-01~2014-12(84个月,PRE_INCEPTION,NOT_APPLICABLE)"
hh.deposit_hist,hh.deposit_hist,STATE,last_known,2008-01,2015-03,84,139,37.7%,HIGH,0,0,139,0,0,0,0,0,0,0,"2010-07~2010-09(3个月,INTERNAL_GAP,SOURCE_GAP); 2015-04~2026-07(136个月,POST_LAST_VALID,SOURCE_GAP)","2015-04~2026-07(136个月,POST_LAST_VALID,SOURCE_GAP)"
