dataset,decision_month,feature,na_reason
baseline_2008_monthly,2010-01,rate.fr007_mean,
baseline_2008_monthly,2010-01,gro.ip_yoy,
baseline_2008_monthly,2010-01,gro.retail_yoy,
baseline_2008_monthly,2010-01,gro.gdp_yoy,
baseline_2008_monthly,2010-01,inf.cpi_yoy,
baseline_2008_monthly,2010-01,inf.ppi_yoy,
baseline_2008_monthly,2010-01,liq.m2_yoy,
baseline_2008_monthly,2010-02,ey,
baseline_2008_monthly,2010-02,eyg,
baseline_2008_monthly,2010-02,term_spread,
baseline_2008_monthly,2010-02,pmi_gap,
baseline_2008_monthly,2010-02,delta_pmi,
baseline_2008_monthly,2010-02,loans_12m,
baseline_2008_monthly,2010-02,val.pb,
baseline_2008_monthly,2010-02,rate.fr007_mean,
baseline_2008_monthly,2010-02,gro.ip_yoy,
baseline_2008_monthly,2010-02,gro.retail_yoy,
baseline_2008_monthly,2010-02,gro.gdp_yoy,
baseline_2008_monthly,2010-02,inf.cpi_yoy,
baseline_2008_monthly,2010-02,inf.ppi_yoy,
baseline_2008_monthly,2010-02,liq.m2_yoy,
baseline_2008_monthly,2010-03,ey,
baseline_2008_monthly,2010-03,eyg,
baseline_2008_monthly,2010-03,term_spread,
baseline_2008_monthly,2010-03,pmi_gap,
baseline_2008_monthly,2010-03,delta_pmi,
baseline_2008_monthly,2010-03,loans_12m,
baseline_2008_monthly,2010-03,val.pb,
baseline_2008_monthly,2010-03,rate.fr007_mean,
baseline_2008_monthly,2010-03,gro.ip_yoy,
baseline_2008_monthly,2010-03,gro.retail_yoy,
baseline_2008_monthly,2010-03,gro.gdp_yoy,
baseline_2008_monthly,2010-03,inf.cpi_yoy,
baseline_2008_monthly,2010-03,inf.ppi_yoy,
baseline_2008_monthly,2010-03,liq.m2_yoy,
baseline_2008_monthly,2010-04,ey,
baseline_2008_monthly,2010-04,eyg,
baseline_2008_monthly,2010-04,term_spread,
baseline_2008_monthly,2010-04,pmi_gap,
baseline_2008_monthly,2010-04,delta_pmi,
baseline_2008_monthly,2010-04,loans_12m,
baseline_2008_monthly,2010-04,val.pb,
baseline_2008_monthly,2010-04,rate.fr007_mean,
baseline_2008_monthly,2010-04,gro.ip_yoy,
baseline_2008_monthly,2010-04,gro.retail_yoy,
baseline_2008_monthly,2010-04,gro.gdp_yoy,
baseline_2008_monthly,2010-04,inf.cpi_yoy,
baseline_2008_monthly,2010-04,inf.ppi_yoy,
baseline_2008_monthly,2010-04,liq.m2_yoy,
baseline_2008_monthly,2010-05,ey,
baseline_2008_monthly,2010-05,eyg,
baseline_2008_monthly,2010-05,term_spread,
baseline_2008_monthly,2010-05,pmi_gap,
baseline_2008_monthly,2010-05,delta_pmi,
baseline_2008_monthly,2010-05,loans_12m,
baseline_2008_monthly,2010-05,val.pb,
baseline_2008_monthly,2010-05,rate.fr007_mean,
baseline_2008_monthly,2010-05,gro.ip_yoy,
baseline_2008_monthly,2010-05,gro.retail_yoy,
baseline_2008_monthly,2010-05,gro.gdp_yoy,
baseline_2008_monthly,2010-05,inf.cpi_yoy,
baseline_2008_monthly,2010-05,inf.ppi_yoy,
baseline_2008_monthly,2010-05,liq.m2_yoy,
baseline_2008_monthly,2010-06,ey,
baseline_2008_monthly,2010-06,eyg,
baseline_2008_monthly,2010-06,term_spread,
baseline_2008_monthly,2010-06,pmi_gap,
baseline_2008_monthly,2010-06,delta_pmi,
baseline_2008_monthly,2010-06,loans_12m,
baseline_2008_monthly,2010-06,val.pb,
baseline_2008_monthly,2010-06,rate.fr007_mean,
baseline_2008_monthly,2010-06,gro.ip_yoy,
baseline_2008_monthly,2010-06,gro.retail_yoy,
baseline_2008_monthly,2010-06,gro.gdp_yoy,
baseline_2008_monthly,2010-06,inf.cpi_yoy,
baseline_2008_monthly,2010-06,inf.ppi_yoy,
baseline_2008_monthly,2010-06,liq.m2_yoy,
baseline_2008_monthly,2010-07,ey,
baseline_2008_monthly,2010-07,eyg,
baseline_2008_monthly,2010-07,term_spread,
baseline_2008_monthly,2010-07,pmi_gap,
baseline_2008_monthly,2010-07,delta_pmi,
baseline_2008_monthly,2010-07,loans_12m,
baseline_2008_monthly,2010-07,val.pb,
baseline_2008_monthly,2010-07,rate.fr007_mean,
baseline_2008_monthly,2010-07,gro.ip_yoy,
baseline_2008_monthly,2010-07,gro.retail_yoy,
baseline_2008_monthly,2010-07,gro.gdp_yoy,
baseline_2008_monthly,2010-07,inf.cpi_yoy,
baseline_2008_monthly,2010-07,inf.ppi_yoy,
baseline_2008_monthly,2010-07,liq.m2_yoy,
baseline_2008_monthly,2010-08,ey,
baseline_2008_monthly,2010-08,eyg,
baseline_2008_monthly,2010-08,term_spread,
baseline_2008_monthly,2010-08,pmi_gap,
baseline_2008_monthly,2010-08,delta_pmi,
baseline_2008_monthly,2010-08,loans_12m,
baseline_2008_monthly,2010-08,val.pb,
baseline_2008_monthly,2010-08,rate.fr007_mean,
baseline_2008_monthly,2010-08,gro.ip_yoy,
baseline_2008_monthly,2010-08,gro.retail_yoy,
baseline_2008_monthly,2010-08,gro.gdp_yoy,
baseline_2008_monthly,2010-08,inf.cpi_yoy,
baseline_2008_monthly,2010-08,inf.ppi_yoy,
baseline_2008_monthly,2010-08,liq.m2_yoy,
baseline_2008_monthly,2010-09,ey,
baseline_2008_monthly,2010-09,eyg,
baseline_2008_monthly,2010-09,term_spread,
baseline_2008_monthly,2010-09,pmi_gap,
baseline_2008_monthly,2010-09,delta_pmi,
baseline_2008_monthly,2010-09,loans_12m,
baseline_2008_monthly,2010-09,val.pb,
baseline_2008_monthly,2010-09,rate.fr007_mean,
baseline_2008_monthly,2010-09,gro.ip_yoy,
baseline_2008_monthly,2010-09,gro.retail_yoy,
baseline_2008_monthly,2010-09,gro.gdp_yoy,
baseline_2008_monthly,2010-09,inf.cpi_yoy,
baseline_2008_monthly,2010-09,inf.ppi_yoy,
baseline_2008_monthly,2010-09,liq.m2_yoy,
baseline_2008_monthly,2010-10,ey,
baseline_2008_monthly,2010-10,eyg,
baseline_2008_monthly,2010-10,term_spread,
baseline_2008_monthly,2010-10,pmi_gap,
baseline_2008_monthly,2010-10,delta_pmi,
baseline_2008_monthly,2010-10,loans_12m,
baseline_2008_monthly,2010-10,val.pb,
baseline_2008_monthly,2010-10,rate.fr007_mean,
baseline_2008_monthly,2010-10,gro.ip_yoy,
baseline_2008_monthly,2010-10,gro.retail_yoy,
baseline_2008_monthly,2010-10,gro.gdp_yoy,
baseline_2008_monthly,2010-10,inf.cpi_yoy,
baseline_2008_monthly,2010-10,inf.ppi_yoy,
baseline_2008_monthly,2010-10,liq.m2_yoy,
baseline_2008_monthly,2010-11,ey,
baseline_2008_monthly,2010-11,eyg,
baseline_2008_monthly,2010-11,term_spread,
baseline_2008_monthly,2010-11,pmi_gap,
baseline_2008_monthly,2010-11,delta_pmi,
baseline_2008_monthly,2010-11,loans_12m,
baseline_2008_monthly,2010-11,val.pb,
baseline_2008_monthly,2010-11,rate.fr007_mean,
baseline_2008_monthly,2010-11,gro.ip_yoy,
baseline_2008_monthly,2010-11,gro.retail_yoy,
baseline_2008_monthly,2010-11,gro.gdp_yoy,
baseline_2008_monthly,2010-11,inf.cpi_yoy,
baseline_2008_monthly,2010-11,inf.ppi_yoy,
